Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"All Eyez On Me (ft. Big Syke)","2Pac","All Eyez On Me","Banyan chill song recommend","Playlist","USKO10404425","4VQNCzfZ3MdHEwwErNXpBo"
"LOVE. FEAT. ZACARI.","Kendrick Lamar","DAMN.","Banyan chill song recommend","Playlist","USUM71703088","6PGoSes0D9eUDeeAafB2As"
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","Metro Boomin","METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE)","Banyan chill song recommend","Playlist","USUM72308540","6Ec5LeRzkisa5KJtwLfOoW"
"Redbone","Childish Gambino","""Awaken, My Love!""","Banyan chill song recommend","Playlist","USYAH1600107","0wXuerDYiBnERgIpbb3JBR"
"Die Hard","Kendrick Lamar","Mr. Morale & The Big Steppers","Banyan chill song recommend","Playlist","USUM72208965","2g6tReTlM2Akp41g0HaeXN"
"89 Earthquake","Larry June","The Great Escape","Banyan chill song recommend","Playlist","USUYG1466990","0GSbjG7c0gm7qX0Ru7vuon"
"Zenith","Kavinsky","Reborn","Banyan chill song recommend","Playlist","FRS712100150","0qKX14YZHptDWiEN0CgxGz"
"Nightcall","Kavinsky","Nightcall","Banyan chill song recommend","Playlist","FRS710900410","0U0ldCRmgCqhVvD6ksG63j"
"Scrape It Off (feat. Lil Uzi Vert & Don Toliver)","Pusha T","It's Almost Dry","Banyan chill song recommend","Playlist","USUM72203832","1dp8aQANyTRKssDeAYPiZe"
"Workin’ Out - A Colors Show","JID","Workin’ Out - A Colors Show","Banyan chill song recommend","Playlist","USUM71922985","70QT8Tr8gnAEkeLW3WwN3C"
"Wat's Wrong (feat. Zacari & Kendrick Lamar)","Isaiah Rashad","The Sun's Tirade","Banyan chill song recommend","Playlist","TCACR1650835","2RPbEp0DyBVlkRvvYKopO7"
"The Color Violet","Tory Lanez","Alone At Prom","Banyan chill song recommend","Playlist","QZTGW2100275","3azJifCSqg9fRij2yKIbWz"
"Just Wanna Rock","Lil Uzi Vert","Just Wanna Rock","Banyan chill song recommend","Playlist","USAT22219211","4FyesJzVpA39hbYvcseO2d"
"Let It Happen","Tame Impala","Currents","Banyan chill song recommend","Playlist","AUUM71500292","2X485T9Z5Ly0xyaghN73ed"
"The World Is Yours","Nas","Illmatic","Banyan chill song recommend","Playlist","USSM10022814","7G3lxTsMfSx4yarMkfgnTC"
"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)","Wu-Tang Clan","Enter The Wu-Tang (36 Chambers) [Expanded Edition]","Banyan chill song recommend","Playlist","USRC19300133","119c93MHjrDLJTApCVGpvx"
"Stars (feat. Yasiin Bey)","JID","The Forever Story (Extended Version)","Banyan chill song recommend","Playlist","USUM72214827","1SsbAUqPSt20PhHAuVSDNu"
"Donny In Valdez - PJ's Flip","Pale Jay","Donny In Valdez (PJ's Flip)","Banyan chill song recommend","Playlist","DEQ022281399","1aZ2te6hhXVJOYumYrZkAt"
"The Scoop On Heaven","Mac Miller","I Love Life, Thank You","Banyan chill song recommend","Playlist","USA2P2212492","213LtzTmFAm3LsyVnNyLGQ"
"Bop.","The Girl Next Door","Bop.","Banyan chill song recommend","Playlist","QZHN42054946","0gJijq3WRkH62XNI0jZqEU"
"Moon","Kanye West","Donda","Banyan chill song recommend","Playlist","USUM72116291","7CC6UbCs4iGsePSzFxYxNn"
"You Know How We Do It","Ice Cube","Lethal Injection","Banyan chill song recommend","Playlist","USPO10300102","2Ih217RCGAmyQR68Nn7Cqo"
"Self Care","Mac Miller","Swimming","Banyan chill song recommend","Playlist","USWB11801215","5bJ1DrEM4hNCafcDd1oxHx"